Year,Name,Code,Yield,Harvest area,region
1979,CALIFORNIA,6,117,117,4
1978,CALIFORNIA,6,126,281000,4
1978,CALIFORNIA,6,126,281000,4
1978,CALIFORNIA,6,126,126,4
1977,CALIFORNIA,6,116,247000,4
1976,CALIFORNIA,6,110,290000,4
1975,CALIFORNIA,6,109,254000,4
1974,CALIFORNIA,6,107,225000,4
1973,CALIFORNIA,6,105,235000,4
1972,CALIFORNIA,6,100,215000,4
1971,CALIFORNIA,6,94,250000,4
1970,CALIFORNIA,6,98,203000,4
1969,CALIFORNIA,6,92,177000,4
1968,CALIFORNIA,6,95,185000,4
1967,CALIFORNIA,6,84,220000,4
1966,CALIFORNIA,6,92,180000,4
1965,CALIFORNIA,6,89,144000,4
1964,CALIFORNIA,6,82,107000,4
1963,CALIFORNIA,6,77,98000,4
1962,CALIFORNIA,6,77,77000,4
1961,CALIFORNIA,6,72,91000,4
1960,CALIFORNIA,6,72,130000,4
1959,CALIFORNIA,6,71,167000,4
1958,CALIFORNIA,6,70,176000,4
1957,CALIFORNIA,6,74,216000,4
1956,CALIFORNIA,6,72,173000,4
1955,CALIFORNIA,6,66,184000,4
1954,CALIFORNIA,6,57,103000,4
1953,CALIFORNIA,6,46,37000,4
1952,CALIFORNIA,6,48,39000,4
1951,CALIFORNIA,6,47,30000,4
1950,CALIFORNIA,6,43,42000,4
1949,CALIFORNIA,6,40,31000,4
1948,CALIFORNIA,6,36.5,30000,4
1947,CALIFORNIA,6,35,27000,4
1946,CALIFORNIA,6,35,32000,4
1945,CALIFORNIA,6,34,29000,4
1944,CALIFORNIA,6,35,36000,4
1943,CALIFORNIA,6,39,38000,4
1942,CALIFORNIA,6,36,41000,4
1941,CALIFORNIA,6,35,45000,4
1940,CALIFORNIA,6,35,38000,4
1939,CALIFORNIA,6,33.5,36000,4
1938,CALIFORNIA,6,36,44000,4
1937,CALIFORNIA,6,36.5,44000,4
1936,CALIFORNIA,6,36,43000,4
1935,CALIFORNIA,6,35,43000,4
1934,CALIFORNIA,6,37,39000,4
1933,CALIFORNIA,6,32,47000,4
1932,CALIFORNIA,6,34,55000,4
1931,CALIFORNIA,6,34.5,48000,4
1930,CALIFORNIA,6,35,43000,4
1929,CALIFORNIA,6,34,40000,4
1928,CALIFORNIA,6,33,33000,4
1927,CALIFORNIA,6,33,35000,4
1926,CALIFORNIA,6,32.6,36000,4
1925,CALIFORNIA,6,35,37000,4
1924,CALIFORNIA,6,31,37000,4
1923,CALIFORNIA,6,33.5,52000,4
1922,CALIFORNIA,6,33,48000,4
1921,CALIFORNIA,6,30,63000,4
1920,CALIFORNIA,6,33,83000,4
1919,CALIFORNIA,6,30,117000,4
1918,CALIFORNIA,6,34,140000,4
1917,CALIFORNIA,6,32,125000,4
1916,CALIFORNIA,6,32,100000,4
1915,CALIFORNIA,6,38,95000,4
1914,CALIFORNIA,6,36,82000,4
1913,CALIFORNIA,6,30.5,72000,4
1912,CALIFORNIA,6,32,75000,4
1911,CALIFORNIA,6,33,68000,4
1910,CALIFORNIA,6,33.5,63000,4
1909,CALIFORNIA,6,29.5,60000,4
1908,CALIFORNIA,6,27.5,58000,4
1907,CALIFORNIA,6,30.5,60000,4
1906,CALIFORNIA,6,31,62000,4
1905,CALIFORNIA,6,32,61000,4
1904,CALIFORNIA,6,29,59000,4
1903,CALIFORNIA,6,30.5,62000,4
1902,CALIFORNIA,6,30,64000,4
1901,CALIFORNIA,6,30.5,63000,4
1900,CALIFORNIA,6,25,62000,4
1899,CALIFORNIA,6,27.4,68000,4
1898,CALIFORNIA,6,25,51000,4
1897,CALIFORNIA,6,31.5,68000,4
1896,CALIFORNIA,6,28,67000,4
1895,CALIFORNIA,6,34.5,73000,4
1894,CALIFORNIA,6,26,75000,4
1893,CALIFORNIA,6,34,81000,4
1892,CALIFORNIA,6,30.5,81000,4
1891,CALIFORNIA,6,32.5,78000,4
1890,CALIFORNIA,6,33,77000,4
1889,CALIFORNIA,6,33.9,76000,4
1888,CALIFORNIA,6,34,75000,4
1887,CALIFORNIA,6,30,76000,4
1886,CALIFORNIA,6,33,76000,4
1885,CALIFORNIA,6,25,76000,4
1884,CALIFORNIA,6,35,75000,4
1883,CALIFORNIA,6,29,79000,4
1882,CALIFORNIA,6,28,72000,4
1881,CALIFORNIA,6,30,71000,4
1880,CALIFORNIA,6,32,72000,4
1879,CALIFORNIA,6,28,72000,4
1878,CALIFORNIA,6,28,65000,4
1877,CALIFORNIA,6,26.5,65000,4
1876,CALIFORNIA,6,26,53000,4
1875,CALIFORNIA,6,25,51000,4
1874,CALIFORNIA,6,33,38000,4
1873,CALIFORNIA,6,31,38000,4
1872,CALIFORNIA,6,29,43000,4
1871,CALIFORNIA,6,21.5,47000,4
1870,CALIFORNIA,6,25,47000,4
1869,CALIFORNIA,6,28,47000,4
1868,CALIFORNIA,6,30,47000,4
1867,CALIFORNIA,6,27,45000,4
1866,CALIFORNIA,6,28,42000,4
2018,COLORADO,8,130,1200000,4
2017,COLORADO,8,143,1300000,4
2016,COLORADO,8,137,1170000,4
2015,COLORADO,8,142,950000,4
2014,COLORADO,8,146,1010000,4
2013,COLORADO,8,131,980000,4
2012,COLORADO,8,133,1010000,4
2011,COLORADO,8,133,1300000,4
2010,COLORADO,8,151,1210000,4
2009,COLORADO,8,153,990000,4
2008,COLORADO,8,137,1010000,4
2007,COLORADO,8,140,1060000,4
2006,COLORADO,8,156,860000,4
2005,COLORADO,8,148,950000,4
2004,COLORADO,8,135,1040000,4
2003,COLORADO,8,135,890000,4
2002,COLORADO,8,150,720000,4
2001,COLORADO,8,140,1070000,4
2000,COLORADO,8,126,1150000,4
1999,COLORADO,8,142,1120000,4
1998,COLORADO,8,145,1070000,4
1997,COLORADO,8,146,980000,4
1996,COLORADO,8,142,890000,4
1995,COLORADO,8,111,830000,4
1994,COLORADO,8,150,840000,4
1993,COLORADO,8,120,890000,4
1992,COLORADO,8,148,880000,4
1991,COLORADO,8,153,870000,4
1990,COLORADO,8,155,830000,4
